"","Density","median","Experiment","centred_time"
"75","0.01",0.00397716254502924,"Feb24",-9.54525699291833
"76","0.01",0.00294673084036633,"Feb24",-9.04525699291833
"77","0.01",0.00262284725774782,"Feb24",-8.54525699291833
"78","0.01",0.00238216800852919,"Feb24",-8.04525699291833
"79","0.01",0.00265519492295041,"Feb24",-7.54525699291833
"80","0.01",0.00242551617616014,"Feb24",-7.04525699291833
"81","0.01",0.00271665011193952,"Feb24",-6.54525699291833
"82","0.01",0.00275452791996617,"Feb24",-6.04525699291833
"83","0.01",0.00229113668459704,"Feb24",-5.54525699291833
"84","0.01",0.00314816714897341,"Feb24",-5.04525699291833
"85","0.01",0.00242648636747509,"Feb24",-4.54525699291833
"86","0.01",0.0029811150656456,"Feb24",-4.04525699291833
"87","0.01",0.00386813074892449,"Feb24",-3.54525699291833
"88","0.01",0.00526107712658291,"Feb24",-3.04525699291833
"89","0.01",0.00456078468979872,"Feb24",-2.54525699291833
"90","0.01",0.00712405698120073,"Feb24",-2.04525699291833
"91","0.01",0.0128990518834183,"Feb24",-1.54525699291833
"92","0.01",0.0194405211625298,"Feb24",-1.04525699291833
"93","0.01",0.0348137184258786,"Feb24",-0.545256992918327
"94","0.01",0.0568490530938732,"Feb24",-0.0452569929183273
"95","0.01",0.0105094448701847,"Feb24",0.454743007081673
"96","0.01",0.0222588686347034,"Feb24",0.954743007081673
"97","0.01",0.00784515744813024,"Feb24",1.45474300708167
"98","0.01",0.00641078270734809,"Feb24",1.95474300708167
"99","0.01",0.00359423508258051,"Feb24",2.45474300708167
"100","0.01",0.00237033986502138,"Feb24",2.95474300708167
"101","0.01",0.00211589995373093,"Feb24",3.45474300708167
"102","0.01",0.00299126974857761,"Feb24",3.95474300708167
"103","0.01",0.0046512901476899,"Feb24",4.45474300708167
"104","0.01",0.00460574396339609,"Feb24",4.95474300708167
"105","0.01",0.00377743808898413,"Feb24",5.45474300708167
"106","0.01",0.00263924290677678,"Feb24",5.95474300708167
"107","0.01",0.00329764737641337,"Feb24",6.45474300708167
"108","0.01",0.00336858058775702,"Feb24",6.95474300708167
"109","0.01",0.00302463211941445,"Feb24",7.45474300708167
"110","0.01",0.00325663829790564,"Feb24",7.95474300708167
"111","0.01",0.00361983007988944,"Feb24",8.45474300708167
"112","0.01",0.00362411999224247,"Feb24",8.95474300708167
"113","0.1",0.00674949597923043,"Feb2",-5.4756991618048
"114","0.1",0.00493285465233768,"Feb2",-4.9756991618048
"115","0.1",0.00409329011769292,"Feb2",-4.4756991618048
"116","0.1",0.00506857287480134,"Feb2",-3.9756991618048
"117","0.1",0.00391924769136041,"Feb2",-3.4756991618048
"118","0.1",0.00268168820533245,"Feb2",-2.9756991618048
"119","0.1",0.00356426818698068,"Feb2",-2.4756991618048
"120","0.1",0.00288346475618762,"Feb2",-1.9756991618048
"121","0.1",0.00475621161022659,"Feb2",-1.4756991618048
"122","0.1",0.0107068192449207,"Feb2",-0.975699161804799
"123","0.1",0.0220313833174089,"Feb2",-0.475699161804799
"124","0.1",0.0308143075828306,"Feb2",0.0243008381952015
"125","0.1",0.0252755878684215,"Feb2",0.524300838195201
"126","0.1",0.00893504512013566,"Feb2",1.0243008381952
"127","0.1",0.0102230883628348,"Feb2",1.5243008381952
"128","0.1",0.00678178158690129,"Feb2",2.0243008381952
"129","0.1",0.00479630566276847,"Feb2",2.5243008381952
"130","0.1",0.00356162987400881,"Feb2",3.0243008381952
"131","0.1",0.00333390964147795,"Feb2",3.5243008381952
"132","0.1",0.00379366830559473,"Feb2",4.0243008381952
"133","0.1",0.00331533469732602,"Feb2",4.5243008381952
"134","0.1",0.00402167088842438,"Feb2",5.0243008381952
"135","0.1",0.0051559184016824,"Feb2",5.5243008381952
"136","0.1",0.0062066886445703,"Feb2",6.0243008381952
"137","0.01",0.00438443605003971,"Feb3",-9.53555310121123
"138","0.01",0.00550329604333677,"Feb3",-9.03555310121123
"139","0.01",0.00497678964268185,"Feb3",-8.53555310121123
"140","0.01",0.00432975925385313,"Feb3",-8.03555310121123
"141","0.01",0.00228854110053508,"Feb3",-7.53555310121123
"142","0.01",0.00328161276452028,"Feb3",-7.03555310121123
"143","0.01",0.00304693503282494,"Feb3",-6.53555310121123
"144","0.01",0.00349015692348489,"Feb3",-6.03555310121123
"145","0.01",0.00373664274633982,"Feb3",-5.53555310121123
"146","0.01",0.00309258698347323,"Feb3",-5.03555310121123
"147","0.01",0.00412161241930688,"Feb3",-4.53555310121123
"148","0.01",0.003402750734387,"Feb3",-4.03555310121123
"149","0.01",0.0036334473555499,"Feb3",-3.53555310121123
"150","0.01",0.0053160531402455,"Feb3",-3.03555310121123
"151","0.01",0.00913083698959866,"Feb3",-2.53555310121123
"152","0.01",0.0131124092106196,"Feb3",-2.03555310121123
"153","0.01",0.0195563362947759,"Feb3",-1.53555310121123
"154","0.01",0.0303442754700974,"Feb3",-1.03555310121123
"155","0.01",0.0439162455213288,"Feb3",-0.535553101211226
"156","0.01",0.0418231983387452,"Feb3",-0.0355531012112262
"157","0.01",0.0302748411145936,"Feb3",0.464446898788774
"158","0.01",0.0184103927089474,"Feb3",0.964446898788774
"159","0.01",0.0110199567797667,"Feb3",1.46444689878877
"160","0.01",0.00642312419455205,"Feb3",1.96444689878877
"161","0.01",0.0063665345089986,"Feb3",2.46444689878877
